"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"00826899999","2010-05-20T01:44:00","32.95","65.5666666","1156.72","WXPOD8278, AF","FM-15","4","27.93","34","86","","","","","15","","","","","","160","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET085MOBOB0 METAR 8268 //000 000000 192114Z 16011KT //// CLR 30/01 A2793 RMK CDP03528 CLR;","","","","","","","","","",""
"00826899999","2010-05-20T02:14:00","32.95","65.5666666","1156.72","WXPOD8278, AF","FM-15","4","27.91","34","88","","","","","15","","","","","","120","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET085MOBOB0 METAR 8268 //000 000000 192144Z 12006KT //// CLR 31/01 A2791 RMK CDP03528 CLR;","","","","","","","","","",""
"00826899999","2010-05-20T22:44:00","32.95","65.5666666","1156.72","WXPOD8278, AF","FM-15","4","29.82","39","90","","","","","17","","","","","","070","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET085MOBOB0 METAR 8268 //057 000000 201814Z 07002KT //// CLR 32/04 A2982 RMK CDP03528 CLR;","","","","","","","","","",""
"00826899999","2010-05-20T23:30:00","32.95","65.5666666","1156.72","WXPOD8278, AF","FM-15","4","29.81","39","91","","","","","16","","","","","","160","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET085MOBOB0 METAR 8268 //057 000000 201859Z 16002KT //// CLR 33/04 A2981 RMK CDP03528 CLR;","","","","","","","","","",""
"00826899999","2010-05-20T23:59:00","32.95","65.5666666","1156.72","WXPOD8278, AF","FM-15","4","29.79","37","91","","","","","15","","","","","","160","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET085MOBOB0 METAR 8268 //057 000000 201929Z 16004KT //// CLR 33/03 A2979 RMK CDP03528 CLR;","","","","","","","","","",""
"00826899999","2010-05-21T00:30:00","32.95","65.5666666","1156.72","WXPOD8278, AF","FM-15","4","29.78","37","93","","","","","14","","","","","","180","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET085MOBOB0 METAR 8268 //057 000000 201959Z 18010KT //// CLR 34/03 A2978 RMK CDP03528 CLR;","","","","","","","","","",""
"00826899999","2010-05-21T00:44:00","32.95","65.5666666","1156.72","WXPOD8278, AF","FM-15","4","29.77","39","90","","","","","17","","","","","","190","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET085MOBOB0 METAR 8268 //057 000000 202014Z 19007KT //// CLR 32/04 A2977 RMK CDP03528 CLR;","","","","","","","","","",""
"00826899999","2010-05-21T01:59:00","32.95","65.5666666","1156.72","WXPOD8278, AF","FM-15","4","29.72","36","91","","","","","14","","","","","","130","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET085MOBOB0 METAR 8268 //057 000000 202129Z 13004KT //// CLR 33/02 A2972 RMK CDP03528 CLR;","","","","","","","","","",""
"00826899999","2010-05-21T02:14:00","32.95","65.5666666","1156.72","WXPOD8278, AF","FM-15","4","29.72","36","93","","","","","13","","","","","","090","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET085MOBOB0 METAR 8268 //057 000000 202144Z 09006KT //// CLR 34/02 A2972 RMK CDP03528 CLR;","","","","","","","","","",""
"00826899999","2010-05-21T02:30:00","32.95","65.5666666","1156.72","WXPOD8278, AF","FM-15","4","29.71","36","93","","","","","13","","","","","","230","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET085MOBOB0 METAR 8268 //057 000000 202159Z 23003KT //// CLR 34/02 A2971 RMK CDP03528 CLR;","","","","","","","","","",""
