[2024-03-10T12:16:52.849+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: task2dag.data_visualization_pipeline manual__2024-03-10T12:14:32.846289+00:00 [queued]>
[2024-03-10T12:16:52.868+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: task2dag.data_visualization_pipeline manual__2024-03-10T12:14:32.846289+00:00 [queued]>
[2024-03-10T12:16:52.869+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2024-03-10T12:16:52.921+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): data_visualization_pipeline> on 2024-03-10 12:14:32.846289+00:00
[2024-03-10T12:16:52.937+0000] {standard_task_runner.py:60} INFO - Started process 3612 to run task
[2024-03-10T12:16:52.945+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'task2dag', 'data_visualization_pipeline', 'manual__2024-03-10T12:14:32.846289+00:00', '--job-id', '880', '--raw', '--subdir', 'DAGS_FOLDER/task2dag.py', '--cfg-path', '/tmp/tmpk8f09p0h']
[2024-03-10T12:16:52.948+0000] {standard_task_runner.py:88} INFO - Job 880: Subtask data_visualization_pipeline
[2024-03-10T12:16:53.100+0000] {task_command.py:423} INFO - Running <TaskInstance: task2dag.data_visualization_pipeline manual__2024-03-10T12:14:32.846289+00:00 [running]> on host 9268fe474086
[2024-03-10T12:16:53.305+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='task2dag' AIRFLOW_CTX_TASK_ID='data_visualization_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2024-03-10T12:14:32.846289+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-10T12:14:32.846289+00:00'
[2024-03-10T12:16:53.413+0000] {logging_mixin.py:188} INFO - 1, 2010 month and year
[2024-03-10T12:16:55.671+0000] {logging_mixin.py:188} INFO - 1, 2011 month and year
[2024-03-10T12:16:56.838+0000] {logging_mixin.py:188} INFO - 1, 2012 month and year
[2024-03-10T12:16:58.409+0000] {logging_mixin.py:188} INFO - 1, 2013 month and year
[2024-03-10T12:16:59.445+0000] {logging_mixin.py:188} INFO - 1, 2014 month and year
[2024-03-10T12:17:00.768+0000] {logging_mixin.py:188} INFO - 1, 2015 month and year
[2024-03-10T12:17:01.874+0000] {logging_mixin.py:188} INFO - 2, 2010 month and year
[2024-03-10T12:17:03.054+0000] {logging_mixin.py:188} INFO - 2, 2011 month and year
[2024-03-10T12:17:04.246+0000] {logging_mixin.py:188} INFO - 2, 2012 month and year
[2024-03-10T12:17:05.433+0000] {logging_mixin.py:188} INFO - 2, 2013 month and year
[2024-03-10T12:17:06.442+0000] {logging_mixin.py:188} INFO - 2, 2014 month and year
[2024-03-10T12:17:07.417+0000] {logging_mixin.py:188} INFO - 2, 2015 month and year
[2024-03-10T12:17:08.340+0000] {logging_mixin.py:188} INFO - 3, 2010 month and year
[2024-03-10T12:17:09.388+0000] {logging_mixin.py:188} INFO - 3, 2011 month and year
[2024-03-10T12:17:10.372+0000] {logging_mixin.py:188} INFO - 3, 2012 month and year
[2024-03-10T12:17:11.407+0000] {logging_mixin.py:188} INFO - 3, 2013 month and year
[2024-03-10T12:17:12.721+0000] {logging_mixin.py:188} INFO - 3, 2014 month and year
[2024-03-10T12:17:13.692+0000] {logging_mixin.py:188} INFO - 3, 2015 month and year
[2024-03-10T12:17:14.601+0000] {logging_mixin.py:188} INFO - 4, 2010 month and year
[2024-03-10T12:17:15.593+0000] {logging_mixin.py:188} INFO - 4, 2011 month and year
[2024-03-10T12:17:16.535+0000] {logging_mixin.py:188} INFO - 4, 2012 month and year
[2024-03-10T12:17:17.511+0000] {logging_mixin.py:188} INFO - 4, 2013 month and year
[2024-03-10T12:17:18.491+0000] {logging_mixin.py:188} INFO - 4, 2014 month and year
[2024-03-10T12:17:19.515+0000] {logging_mixin.py:188} INFO - 4, 2015 month and year
[2024-03-10T12:17:20.471+0000] {logging_mixin.py:188} INFO - 5, 2010 month and year
[2024-03-10T12:17:21.488+0000] {logging_mixin.py:188} INFO - 5, 2011 month and year
[2024-03-10T12:17:22.393+0000] {logging_mixin.py:188} INFO - 5, 2012 month and year
[2024-03-10T12:17:23.359+0000] {logging_mixin.py:188} INFO - 5, 2013 month and year
[2024-03-10T12:17:24.283+0000] {logging_mixin.py:188} INFO - 5, 2014 month and year
[2024-03-10T12:17:25.199+0000] {logging_mixin.py:188} INFO - 5, 2015 month and year
[2024-03-10T12:17:26.503+0000] {logging_mixin.py:188} INFO - 6, 2010 month and year
[2024-03-10T12:17:27.452+0000] {logging_mixin.py:188} INFO - 6, 2011 month and year
[2024-03-10T12:17:28.475+0000] {logging_mixin.py:188} INFO - 6, 2012 month and year
[2024-03-10T12:17:29.476+0000] {logging_mixin.py:188} INFO - 6, 2013 month and year
[2024-03-10T12:17:30.450+0000] {logging_mixin.py:188} INFO - 6, 2014 month and year
[2024-03-10T12:17:31.442+0000] {logging_mixin.py:188} INFO - 6, 2015 month and year
[2024-03-10T12:17:32.376+0000] {logging_mixin.py:188} INFO - 7, 2010 month and year
[2024-03-10T12:17:33.364+0000] {logging_mixin.py:188} INFO - 7, 2011 month and year
[2024-03-10T12:17:34.405+0000] {logging_mixin.py:188} INFO - 7, 2012 month and year
[2024-03-10T12:17:35.474+0000] {logging_mixin.py:188} INFO - 7, 2013 month and year
[2024-03-10T12:17:36.538+0000] {logging_mixin.py:188} INFO - 7, 2014 month and year
[2024-03-10T12:17:37.620+0000] {logging_mixin.py:188} INFO - 7, 2015 month and year
[2024-03-10T12:17:38.713+0000] {logging_mixin.py:188} INFO - 8, 2010 month and year
[2024-03-10T12:17:40.426+0000] {logging_mixin.py:188} INFO - 8, 2011 month and year
[2024-03-10T12:17:41.419+0000] {logging_mixin.py:188} INFO - 8, 2012 month and year
[2024-03-10T12:17:42.412+0000] {logging_mixin.py:188} INFO - 8, 2013 month and year
[2024-03-10T12:17:43.426+0000] {logging_mixin.py:188} INFO - 8, 2014 month and year
